Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,Season
2004,Kodagu,142,3512.4,26.8,Alluvial,Drip,343,56.6,Coconut,234581,Kharif
2004,Kodagu,10505,3512.4,26.8,Alluvial,Drip,23099,55.5,Coconut,646,Kharif
2004,Kodagu,51040,3512.4,26.8,Alluvial,Drip,117825.84,58.5,Coconut,43562,Kharif
2004,Kodagu,154,3296,37,Alluvial,Drip,336,59.5,Coconut,200000,Kharif
2004,Kodagu,10318,3296,37,Alluvial,Drip,22594,55,Coconut,4847,Kharif
2004,Kodagu,48083,3296,37,Alluvial,Drip,116481.07,53,Coconut,51239,Kharif
2004,Kasaragodu,143,3550,38,Alluvial,Drip,316,53.5,Coconut,216396,Kharif
2004,Kasaragodu,9283,3550,38,Alluvial,Drip,21400,52.5,Coconut,2644,Kharif
2004,Kasaragodu,47200,3550,38,Alluvial,Drip,122102,56,Coconut,44235,Kharif
2004,Kasaragodu,158,3654,39,Alluvial,Drip,382,57,Coconut,203317,Kharif
2004,Kasaragodu,8982,3654,39,Alluvial,Drip,19578,57.5,Coconut,2134,Kharif
2004,Kasaragodu,46990,3654,39,Alluvial,Drip,121037,57,Coconut,45186,Kharif
2004,Kasaragodu,103,233,40,Alluvial,Drip,231,55,Coconut,238542,Kharif
2004,Kasaragodu,8239,233,40,Alluvial,Drip,18951,56,Coconut,1516,Kharif
2004,Kasaragodu,44563,233,40,Alluvial,Drip,110579,54,Coconut,57259,Kharif
2004,Kasaragodu,96,234,41,Alluvial,Drip,221,58,Coconut,234779,Kharif
2004,Kasaragodu,6949,234,41,Alluvial,Drip,15362,58,Coconut,1493,Kharif
2004,Kasaragodu,44663,234,41,Alluvial,Drip,120373,59,Coconut,64409,Kharif
2004,Kasaragodu,110,3105,42,Red,Drip,291,50,Coconut,249978,Kharif
2004,Kasaragodu,6824,3105,42,Red,Drip,17231,54,Coconut,637,Kharif
2004,Kasaragodu,43013,3105,42,Red,Drip,119359,53,Coconut,43311,Kharif
2004,Raichur,95,236,43,Red,Drip,283,52,Coconut,24848,Kharif
2004,Raichur,6441,236,43,Red,Drip,17690,51,Coconut,761,Kharif
2004,Raichur,4012,2903.1,27,Red,Basin,7157,57,Coconut,45608,Kharif
2004,Raichur,4877,2903.1,27,Red,Basin,8700,57,Coconut,234581,Kharif
2004,Raichur,4930,2903.1,27,Red,Basin,41266,60,Coconut,646,Rabi
2004,Raichur,4954,2996.6,27,Red,Basin,8838,57,Coconut,43562,Rabi
2004,Raichur,5019,2996.6,27,Red,Basin,8954,57,Coconut,200000,Rabi
2004,Raichur,5127,2996.6,27,Red,Basin,42915,54,Coconut,4847,Rabi
2004,Raichur,5174,3522.8,27.2,Red,Basin,9230,54.5,Coconut,51239,Rabi
2004,Raichur,5294,3522.8,27.2,Red,Basin,44313,56.6,Coconut,216396,Rabi
2004,Raichur,5474,3522.8,27.2,Red,Basin,45820,55.5,Coconut,2644,Rabi
2004,Raichur,5864,3729.8,27,Red,Basin,49084,58.5,Coconut,44235,Rabi
2004,Raichur,7028,3729.8,27,Red,Basin,86311,59.5,Coconut,203317,Rabi
2004,Raichur,7403,3729.8,27,Red,Basin,57642,55,Coconut,2134,Rabi
2004,Raichur,7501,2746.2,27,Red,Basin,58405,53,Coconut,45186,Rabi
2004,Raichur,7714,2746.2,27,Red,Basin,60751,53.5,Coconut,238542,Rabi
2004,Raichur,7856,2746.2,27,Red,Basin,109506,52.5,Coconut,1516,Rabi
2004,Raichur,32,3360,27.2,Red,Basin,114,56,Coconut,57259,Rabi
2004,Raichur,1,3360,27.2,Red,Basin,3,57,Coconut,234779,Rabi
2004,Raichur,30,3360,27.2,Red,Basin,95,57.5,Coconut,1493,Rabi
2004,Gulbarga,6,3605.4,27.1,Red,Basin,19,57,Coconut,64409,Rabi
2004,Gulbarga,15,3605.4,27.1,Red,Basin,54,55,Coconut,249978,Rabi
2004,Gulbarga,4,3605.4,27.1,Red,Basin,13,56,Coconut,200000,Rabi
2004,Gulbarga,39,3512.4,26.8,Red,Basin,123,54,Coconut,4847,Rabi
2004,Gulbarga,6,3512.4,26.8,Red,Basin,19,58,Coconut,51239,Rabi
2004,Gulbarga,12,3512.4,26.8,Red,Basin,32,58,Coconut,216396,Rabi
2004,Gulbarga,3,3296,37,Red,Basin,8,59,Coconut,2644,Rabi
2004,Gulbarga,17,3296,37,Black,Basin,50,50,Coconut,44235,Rabi
2004,Gulbarga,3,3296,37,Black,Basin,10,54,Coconut,203317,Rabi
2004,Gulbarga,9,3550,38,Black,Basin,29,53,Coconut,2134,Rabi
2004,Gulbarga,21,3550,38,Black,Basin,44,52,Coconut,45186,Rabi
2004,Gulbarga,11,3550,38,Black,Basin,33,51,Coconut,238542,Rabi
2004,Gulbarga,4,3654,39,Black,Basin,14,57,Coconut,1516,Rabi
2004,Gulbarga,15,3654,39,Black,Basin,56,57,Coconut,57259,Rabi
2004,Gulbarga,8,3654,39,Black,Basin,26,60,Coconut,234779,Rabi
2004,Gulbarga,29,233,40,Black,Basin,98,57,Coconut,1493,Zaid
2004,Gulbarga,1,233,40,Black,Basin,3,57,Coconut,64409,Zaid
2004,Gulbarga,13736,233,40,Black,Basin,58637,54,Coconut,249978,Zaid
2004,Gulbarga,14003,234,41,Black,Basin,59777,54.5,Coconut,637,Zaid
2004,Gulbarga,14179,234,41,Black,Basin,60528,56.6,Coconut,43311,Zaid
2004,Gulbarga,14319,234,41,Black,Basin,61126,55.5,Coconut,24848,Zaid
2004,Gulbarga,14464,3105,42,Black,Basin,623687,58.5,Coconut,761,Zaid
2004,Gulbarga,14876,3105,42,Black,Basin,63504,59.5,Coconut,45608,Zaid
2004,Gulbarga,14976,3105,42,Black,Basin,63931,55,Coconut,234581,Zaid
2004,Gulbarga,15009,236,43,Black,Basin,73730,53,Coconut,646,Zaid
2004,Gulbarga,15114,2903.1,27,Black,Spray,118416,53.5,Coconut,43562,Zaid
2004,Gulbarga,16224,2903.1,27,Black,Spray,130132,52.5,Coconut,200000,Zaid
2004,Gulbarga,17095,2903.1,27,Black,Spray,154889,56,Coconut,4847,Zaid
2004,Gulbarga,17512,2996.6,27,Black,Spray,171739,57,Coconut,51239,Zaid
2004,Gulbarga,17587,2996.6,27,Black,Spray,172475,57.5,Coconut,216396,Zaid
2004,Gulbarga,17771,2996.6,27,Black,Spray,177939,57,Coconut,2644,Zaid
2004,Gulbarga,17825,3522.8,27.2,Black,Spray,313547,55,Coconut,44235,Zaid
2004,Gulbarga,3147,3522.8,27.2,Black,Spray,2783,56,Coconut,203317,Zaid
2004,Gulbarga,2578,3522.8,27.2,Black,Spray,1533,54,Coconut,2134,Zaid
2004,Gulbarga,1591,3729.8,27,Black,Spray,1647,58,Coconut,45186,Zaid
2004,Gulbarga,1298,3729.8,27,Black,Spray,975,58,Coconut,238542,Zaid
2004,Gulbarga,4,3729.8,27,Black,Spray,2,59,Coconut,1516,Zaid
2004,Gulbarga,1122,2746.2,27,Black,Spray,836,50,Coconut,57259,Zaid
2004,Gulbarga,917,2746.2,27,Loam,Spray,806,54,Coconut,234779,Zaid
2004,Gulbarga,819,2746.2,27,Loam,Spray,880,53,Coconut,1493,Zaid
2004,Gulbarga,619,3360,27.2,Loam,Spray,770,52,Coconut,64409,Zaid
2004,Gulbarga,391,3360,27.2,Loam,Spray,395,51,Coconut,249978,Zaid
2004,Gulbarga,211,3360,27.2,Loam,Spray,187,57,Coconut,637,Zaid
2004,Gulbarga,153,3605.4,27.1,Loam,Spray,187,57,Coconut,43311,Zaid
2004,Gulbarga,111,3605.4,27.1,Loam,Spray,121,60,Coconut,24848,Zaid
2004,Gulbarga,76,3605.4,27.1,Loam,Spray,103,57,Coconut,761,Zaid
2004,Gulbarga,53,3512.4,26.8,Loam,Spray,71,57,Coconut,45608,Zaid
2004,Gulbarga,2688,3512.4,26.8,Loam,Spray,3961,54,Coconut,234581,Zaid
2004,Gulbarga,2311,3512.4,26.8,Loam,Spray,4247,54.5,Coconut,646,Zaid
2004,Gulbarga,2188,3296,37,Loam,Spray,3290,56.6,Coconut,43562,Zaid
2004,Gulbarga,1998,3296,37,Loam,Spray,3138,55.5,Coconut,200000,Zaid
2004,Gulbarga,2006,3296,37,Loam,Spray,3423,58.5,Coconut,4847,Zaid
2004,Gulbarga,2034,3550,38,Loam,Spray,3899,59.5,Coconut,51239,Zaid
2004,Gulbarga,2035,3550,38,Loam,Spray,4015,55,Coconut,216396,Zaid
2004,Gulbarga,2074,3550,38,Loam,Spray,4279,53,Coconut,2644,Zaid
2004,Gulbarga,2127,3654,39,Loam,Spray,4167,53.5,Coconut,44235,Zaid
2004,Gulbarga,2090,3654,39,Loam,Spray,4479,52.5,Coconut,203317,Zaid
2004,Gulbarga,2059,3654,39,Loam,Spray,3699,56,Coconut,2134,Zaid
2004,Gulbarga,2050,233,40,Loam,Spray,4904,57,Coconut,45186,Zaid
2004,Gulbarga,1865,233,40,Loam,Spray,2821,57.5,Coconut,238542,Zaid
2004,Gulbarga,1841,233,40,Loam,Spray,3472,57,Coconut,1516,Zaid
2004,Gulbarga,1799,234,41,Loam,Spray,3647,55,Coconut,200000,Zaid
2004,Gulbarga,1468,234,41,Loam,Spray,393,56,Coconut,4847,Zaid
2004,Gulbarga,568,234,41,Red,Spray,167,54,Coconut,51239,Zaid
2004,Gulbarga,407,3105,42,Red,Spray,71,58,Coconut,216396,Zaid
2004,Gulbarga,177,3105,42,Red,Spray,52,58,Coconut,2644,Zaid
2004,Gulbarga,51,3105,42,Red,Spray,12,59,Coconut,44235,Zaid
2004,Gulbarga,173,236,43,Red,Spray,51,50,Coconut,203317,Zaid
2004,Gulbarga,201,236,43,Red,Spray,61,54,Coconut,2134,Zaid
2013,Gulbarga,206,321,128,Red,Drip,67,53,Cocoa,45186,Zaid
2014,Gulbarga,243,3654,129,Red,Drip,62,52,Cocoa,238542,Zaid
2015,Gulbarga,123,323,130,Red,Drip,32,51,Cocoa,1516,Zaid
2016,Gulbarga,82,324,131,Red,Drip,22,57,Cocoa,57259,Zaid
2017,Gulbarga,74,3105,132,Red,Drip,25,57,Cocoa,234779,Zaid
2018,Gulbarga,18,326,133,Red,Drip,4,60,Cocoa,1493,Zaid
2004,Gulbarga,37,327,134,Red,Drip,9,57,Coffee,64409,Zaid
2005,Gulbarga,35,328,135,Red,Drip,12,57,Coffee,249978,Zaid
2006,Gulbarga,5974,2903.1,136,Red,Drip,2089,54,Coffee,637,Zaid
2007,Gulbarga,6631,2903.1,137,Red,Drip,2810,54.5,Coffee,43311,Zaid
2008,Gulbarga,6705,2903.1,138,Red,Drip,841,56.6,Coffee,24848,Zaid
2009,Gulbarga,5876,2996.6,139,Red,Drip,3550,55.5,Coffee,761,Zaid
2010,Gulbarga,326,2996.6,140,Red,Drip,109,58.5,Coffee,45608,Zaid
2011,Gulbarga,6470,2996.6,141,Red,Drip,3368,59.5,Coffee,234581,Zaid
2012,Gulbarga,6709,3522.8,142,Red,Drip,3671,55,Coffee,646,Zaid
2013,Gulbarga,6186,3522.8,143,Red,Drip,2404,53,Coffee,43562,Zaid
2014,Gulbarga,6503,3522.8,144,Red,Drip,2805,53.5,Coffee,200000,Zaid
2015,Gulbarga,5220,3729.8,145,Red,Drip,2331,52.5,Coffee,4847,Zaid
2016,Gulbarga,4677,3729.8,146,Red,Drip,2088,56,Coffee,51239,Zaid
2017,Gulbarga,4803,3729.8,147,Black,Drip,2628,57,Coffee,216396,Zaid
2018,Gulbarga,3739,2746.2,148,Black,Drip,1939,57.5,Coffee,2644,Zaid
2004,Gulbarga,3529,2746.2,149,Black,Drip,1871,57,Cardamum,44235,Zaid
2005,Gulbarga,3649,2746.2,150,Black,Drip,1868,55,Cardamum,203317,Zaid
2006,Gulbarga,1374,3360,151,Black,Drip,127919,56,Cardamum,2134,Zaid
2007,Gulbarga,933,3360,152,Black,Drip,75340,54,Cardamum,45186,Zaid
2008,Gulbarga,345,3360,153,Black,Drip,29170,58,Cardamum,238542,Zaid
2009,Gulbarga,29,3605.4,154,Black,Drip,1901,58,Cardamum,1516,Zaid
2010,Gulbarga,11,3605.4,155,Black,Drip,972,59,Cardamum,57259,Kharif
2011,Gulbarga,10,3605.4,156,Black,Drip,874,50,Cardamum,234779,Kharif
2012,Gulbarga,7,3512.4,157,Black,Drip,592,54,Cardamum,1493,Kharif
2013,Gulbarga,10,3512.4,158,Black,Drip,864,53,Cardamum,64409,Kharif
2014,Gulbarga,56,3512.4,159,Black,Drip,5373,52,Cardamum,249978,Kharif
2015,Gulbarga,68,3296,160,Black,Drip,6589,51,Cardamum,637,Kharif
2016,Gulbarga,56,3296,161,Black,Drip,5107,57,Cardamum,43311,Kharif
2017,Gulbarga,66,3296,162,Black,Drip,5518,57,Cardamum,24848,Kharif
2018,Gulbarga,55,3550,163,Black,Drip,4912,60,Cardamum,761,Kharif
2004,Madikeri,42,3550,164,Black,Drip,3830,57,Pepper,45608,Kharif
2005,Madikeri,51179,3550,165,Black,Drip,4,57,Pepper,234581,Kharif
2006,Madikeri,468,3654,166,Black,Drip,9,54,Pepper,646,Kharif
2007,Madikeri,11841,3654,167,Black,Drip,12,54.5,Pepper,43562,Kharif
2008,Madikeri,50975,3654,168,Black,Drip,2089,56.6,Pepper,200000,Kharif
2009,Madikeri,206,233,169,Black,Drip,2810,55.5,Pepper,4847,Kharif
2010,Madikeri,10922,233,170,Black,Drip,841,58.5,Pepper,51239,Kharif
2011,Madikeri,51390,233,171,Black,Drip,3550,59.5,Pepper,216396,Kharif
2012,Madikeri,177,234,172,Alluvial,Basin,109,55,Pepper,2644,Kharif
2013,Madikeri,10723,234,173,Alluvial,Basin,3368,53,Pepper,44235,Kharif
2014,Madikeri,51709,234,174,Alluvial,Basin,3671,53.5,Pepper,203317,Kharif
2015,Madikeri,146,3105,175,Alluvial,Basin,2404,52.5,Pepper,2134,Kharif
2016,Madikeri,10910,3105,176,Alluvial,Basin,2805,56,Pepper,45186,Kharif
2017,Madikeri,51355,3105,177,Alluvial,Basin,2331,57,Pepper,238542,Kharif
2018,Madikeri,160,236,178,Alluvial,Basin,2088,57.5,Pepper,1516,Kharif
2004,Madikeri,10912,236,179,Alluvial,Basin,2628,57,Arecanut,200000,Kharif
2005,Madikeri,51353,2903.1,180,Alluvial,Basin,1939,55,Arecanut,4847,Kharif
2006,Madikeri,142,2903.1,181,Alluvial,Basin,1871,56,Arecanut,51239,Kharif
2007,Madikeri,10505,2903.1,182,Alluvial,Basin,1868,54,Arecanut,216396,Kharif
2008,Madikeri,51040,2996.6,183,Alluvial,Basin,127919,58,Arecanut,2644,Kharif
2009,Madikeri,154,2996.6,184,Alluvial,Basin,75340,58,Arecanut,44235,Kharif
2010,Madikeri,10318,2996.6,185,Alluvial,Basin,29170,59,Arecanut,203317,Kharif
2011,Madikeri,48083,3522.8,186,Alluvial,Basin,1901,50,Arecanut,2134,Kharif
2012,Madikeri,143,3522.8,187,Alluvial,Basin,972,54,Arecanut,45186,Kharif
2013,Madikeri,9283,3522.8,188,Alluvial,Basin,874,53,Arecanut,238542,Kharif
2014,Madikeri,47200,2903.1,189,Alluvial,Basin,592,52,Arecanut,1516,Kharif
2015,Madikeri,158,2903.1,190,Alluvial,Basin,864,51,Arecanut,57259,Kharif
2016,Madikeri,8982,2903.1,191,Alluvial,Basin,5373,57,Arecanut,234779,Kharif
2017,Hassan,46990,2996.6,192,Alluvial,Basin,6589,57,Arecanut,1493,Kharif
2018,Hassan,103,2996.6,193,Alluvial,Basin,5107,60,Arecanut,64409,Kharif
2004,Hassan,8239,2996.6,194,Alluvial,Basin,5518,57,Ginger,249978,Kharif
2005,Hassan,44563,3522.8,195,Alluvial,Basin,4912,57,Ginger,637,Kharif
2006,Hassan,96,3522.8,196,Alluvial,Basin,3830,54,Ginger,43311,Kharif
2007,Hassan,6949,3522.8,197,Sandy loam ,Basin,4,54.5,Ginger,24848,Kharif
2008,Hassan,44663,3729.8,198,Sandy loam ,Basin,9,56.6,Ginger,761,Kharif
2009,Hassan,110,3729.8,199,Sandy loam ,Basin,12,55.5,Ginger,45608,Kharif
2010,Hassan,6824,3729.8,200,Sandy loam ,Basin,2089,58.5,Ginger,234581,Kharif
2011,Hassan,43013,2746.2,201,Sandy loam ,Basin,2810,59.5,Ginger,646,Kharif
2012,Hassan,95,2746.2,202,Sandy loam ,Basin,841,55,Ginger,43562,Kharif
2013,Hassan,6441,2746.2,203,Sandy loam ,Basin,3550,53,Ginger,200000,Kharif
2014,Hassan,4012,3360,204,Sandy loam ,Basin,109,53.5,Ginger,4847,Kharif
2015,Hassan,4877,3360,205,Sandy loam ,Basin,3368,52.5,Ginger,51239,Kharif
2016,Hassan,4930,3360,206,Sandy loam ,Basin,3671,56,Ginger,216396,Kharif
2017,Hassan,4954,3605.4,207,Sandy loam ,Basin,2404,57,Ginger,2644,Kharif
2018,Hassan,5019,3605.4,208,Sandy loam ,Basin,2805,57.5,Ginger,44235,Kharif
2004,Hassan,5127,3605.4,209,Sandy loam ,Basin,2331,57,Tea,203317,Kharif
2005,Hassan,5174,3512.4,210,Sandy loam ,Basin,2088,55,Tea,2134,Kharif
2006,Hassan,5294,3512.4,211,Sandy loam ,Basin,2628,56,Tea,45186,Kharif
2007,Hassan,5474,3512.4,212,Sandy loam ,Basin,1939,54,Tea,238542,Kharif
2008,Hassan,5864,3296,213,Sandy loam ,Basin,1871,58,Tea,1516,Kharif
2009,Hassan,7028,3296,214,Sandy loam ,Basin,1868,58,Tea,57259,Kharif
2010,Hassan,7403,3296,215,Sandy loam ,Spray,127919,59,Tea,234779,Kharif
2011,Hassan,7501,3550,216,Sandy loam ,Spray,75340,50,Tea,1493,Kharif
2012,Hassan,7714,3550,217,Sandy loam ,Spray,29170,54,Tea,64409,Kharif
2013,Hassan,7856,3550,218,Sandy loam ,Spray,1901,53,Tea,249978,Kharif
2014,Hassan,32,3654,219,Sandy loam ,Spray,972,52,Tea,637,Kharif
2015,Hassan,1,3654,220,Sandy loam ,Spray,874,51,Tea,43311,Kharif
2016,Hassan,30,3654,221,Sandy loam ,Spray,592,57,Tea,24848,Kharif
2017,Hassan,6,233,222,Red laterite,Spray,864,57,Tea,761,Kharif
2018,Hassan,15,233,27,Red laterite,Spray,5373,60,Tea,45608,Kharif
2004,Hassan,4,233,27,Red laterite,Spray,6589,57,Paddy,234581,Kharif
2005,Hassan,39,234,27,Red laterite,Spray,5107,57,Paddy,646,Kharif
2006,Hassan,6,234,27,Red laterite,Spray,5518,54,Paddy,43562,Kharif
2007,Hassan,12,234,27,Red laterite,Spray,4912,54.5,Paddy,200000,Kharif
2008,Hassan,3,3105,27.2,Red laterite,Spray,3830,56.6,Paddy,4847,Kharif
2009,Hassan,17,3105,27.2,Red laterite,Spray,313547,55.5,Paddy,51239,Kharif
2010,Hassan,3,3105,27.2,Red laterite,Spray,2783,58.5,Paddy,216396,Kharif
2011,Hassan,9,236,27,Red laterite,Spray,1533,59.5,Paddy,2644,Kharif
2012,Hassan,21,236,27,Red laterite,Spray,1647,55,Paddy,44235,Kharif
2013,Hassan,11,2903.1,27,Red laterite,Spray,975,53,Paddy,203317,Kharif
2014,Hassan,4,2903.1,27,Red laterite,Spray,2,53.5,Paddy,2134,Kharif
2015,Hassan,15,2903.1,27,Red laterite,Spray,836,52.5,Paddy,45186,Kharif
2016,Hassan,8,2996.6,27,Red laterite,Spray,806,56,Paddy,238542,Kharif
2017,Hassan,29,2996.6,27.2,Red laterite,Spray,880,57,Paddy,1516,Kharif
2018,Hassan,1,2996.6,27.2,Red laterite,Spray,770,57.5,Paddy,200000,Kharif
2004,Hassan,13736,3522.8,27.2,Red laterite,Spray,395,57,Groundnut,4847,Kharif
2005,Hassan,14003,3522.8,27.1,Red laterite,Spray,187,55,Groundnut,51239,Kharif
2006,Hassan,14179,3522.8,27.1,Red laterite,Spray,187,56,Groundnut,216396,Kharif
2007,Hassan,14319,2903.1,27.1,Red laterite,Spray,121,54,Groundnut,2644,Kharif
2008,Hassan,14464,2903.1,26.8,Red laterite,Spray,103,58,Groundnut,44235,Kharif
2009,Hassan,14876,2903.1,26.8,Red laterite,Spray,71,58,Groundnut,203317,Kharif
2010,Hassan,14976,2996.6,26.8,Red laterite,Spray,3961,59,Groundnut,2134,Kharif
2011,Hassan,15009,2996.6,37,Red laterite,Spray,4247,50,Groundnut,45186,Kharif
2012,Hassan,15114,2996.6,37,Black cotton,Spray,3290,54,Groundnut,238542,Kharif
2013,Hassan,16224,3522.8,37,Black cotton,Spray,3138,53,Groundnut,1516,Kharif
2014,Hassan,17095,3522.8,38,Black cotton,Spray,3423,52,Groundnut,57259,Kharif
2015,Hassan,17512,3522.8,38,Black cotton,Spray,3899,51,Groundnut,234779,Kharif
2016,Hassan,17587,3729.8,38,Black cotton,Spray,4015,57,Groundnut,1493,Kharif
2017,Hassan,17771,3729.8,39,Black cotton,Spray,4279,57,Groundnut,64409,Kharif
2018,Hassan,17825,3729.8,39,Black cotton,Spray,4167,60,Groundnut,249978,Kharif
2004,Hassan,3147,2746.2,39,Black cotton,Spray,4479,57,Blackgram,637,Kharif
2005,Hassan,2578,2746.2,40,Black cotton,Spray,3699,57,Blackgram,43311,Kharif
2006,Hassan,1591,2746.2,40,Black cotton,Spray,4904,54,Blackgram,24848,Kharif
2007,Hassan,1298,3360,40,Black cotton,Spray,2821,54.5,Blackgram,761,Kharif
2008,Hassan,4,3360,41,Black cotton,Spray,3472,56.6,Blackgram,45608,Kharif
2009,Hassan,1122,3360,41,Black cotton,Drip,3647,55.5,Blackgram,234581,Kharif
2010,Hassan,917,3605.4,41,Black cotton,Drip,393,58.5,Blackgram,646,Kharif
2011,Hassan,819,3605.4,42,Black cotton,Drip,167,59.5,Blackgram,43562,Kharif
2012,Hassan,619,3605.4,42,Black cotton,Drip,71,55,Blackgram,200000,Kharif
2013,Hassan,391,3512.4,42,Black cotton,Drip,52,53,Blackgram,4847,Kharif
2014,Hassan,211,3512.4,43,Black cotton,Drip,313547,53.5,Blackgram,51239,Kharif
2015,Hassan,153,3512.4,43,Black cotton,Drip,2783,52.5,Blackgram,216396,Kharif
2016,Hassan,111,3296,27,Black cotton,Drip,1533,56,Blackgram,2644,Kharif
2017,Hassan,76,3296,27,Black cotton,Drip,1647,59.5,Blackgram,44235,Kharif
2018,Hassan,53,3296,27,Black cotton,Drip,975,55,Blackgram,203317,Kharif
2004,Hassan,2688,3550,27,Black cotton,Drip,2,53,Cashew,2134,Kharif
2005,Hassan,2311,3550,27,Black cotton,Drip,836,53.5,Cashew,45186,Kharif
2006,Hassan,2188,3550,27,Black cotton,Drip,806,52.5,Cashew,238542,Kharif
2007,Hassan,1998,3654,27.2,Sandy,Drip,880,56,Cashew,1516,Kharif
2008,Hassan,2006,3654,27.2,Sandy,Drip,770,57,Cashew,57259,Kharif
2009,Hassan,2034,3654,27.2,Sandy,Drip,395,57.5,Cashew,234779,Kharif
2010,Hassan,2035,233,27,Sandy,Drip,187,57,Cashew,1493,Kharif
2011,Hassan,2074,233,27,Sandy,Drip,187,55,Cashew,64409,Kharif
2012,Hassan,2127,233,27,Sandy,Drip,121,56,Cashew,249978,Kharif
2013,Hassan,2090,234,27,Sandy,Drip,103,54,Cashew,637,Kharif
2014,Hassan,2059,234,27,Sandy,Drip,71,58,Cashew,43311,Kharif
2015,Hassan,2050,234,27,Sandy,Drip,3961,58,Cashew,24848,Kharif
2016,Hassan,1865,3105,27.2,Sandy,Drip,4247,59,Cashew,761,Kharif
2017,Hassan,1841,3105,27.2,Sandy,Drip,3290,50,Cashew,45608,Kharif
2018,Hassan,1799,3105,27.2,Sandy,Drip,3138,54,Cashew,234581,Kharif
2004,Hassan,1468,236,27.1,Sandy,Drip,3423,53,Coconut,646,Kharif
2005,Hassan,568,236,27.1,Sandy,Drip,3899,59.5,Coconut,43562,Kharif
2006,Hassan,407,2903.1,27.1,Sandy,Drip,4015,55,Coconut,200000,Kharif
2007,Hassan,177,2903.1,26.8,Sandy,Drip,4279,53,Coconut,4847,Kharif
2008,Hassan,51,2903.1,26.8,Sandy,Drip,4167,53.5,Coconut,51239,Kharif
2009,Hassan,173,2996.6,26.8,Sandy,Drip,4479,52.5,Coconut,216396,Kharif
2010,Hassan,201,2996.6,37,Sandy,Drip,3699,56,Coconut,2644,Kharif
2011,Hassan,206,2996.6,37,Sandy,Drip,4904,57,Coconut,44235,Kharif
2012,Hassan,243,3522.8,37,Sandy,Drip,2821,57.5,Coconut,203317,Kharif
2013,Hassan,123,3522.8,38,Sandy,Drip,3472,57,Coconut,2134,Kharif
2014,Hassan,82,3522.8,38,Sandy,Drip,3647,55,Coconut,45186,Kharif
2015,Hassan,74,2903.1,38,Sandy,Drip,393,56,Coconut,238542,Kharif
2016,Hassan,18,2903.1,39,Sandy,Drip,167,54,Coconut,1516,Kharif
2017,Hassan,37,2903.1,39,Laterite,Drip,71,58,Coconut,200000,Kharif
2018,Hassan,35,2996.6,39,Laterite,Drip,52,58,Coconut,4847,Kharif
2019,Hassan,5974,2996.6,40,Laterite,Drip,2570,59,Coconut,51239,Kharif
2004,Hassan,6631,2996.6,40,Laterite,Drip,27170,50,Ginger,216396,Kharif
2005,Hassan,6705,3522.8,40,Laterite,Drip,114744,54,Ginger,2644,Kharif
2006,Hassan,5876,3522.8,41,Laterite,Drip,1402,53,Ginger,44235,Kharif
2007,Hassan,326,3522.8,41,Laterite,Basin,23456,59.5,Ginger,203317,Kharif
2008,Hassan,6470,3729.8,41,Laterite,Basin,107809,55,Ginger,2134,Kharif
2009,Hassan,6709,3729.8,42,Laterite,Basin,1132,53,Ginger,45186,Kharif
